config_id,P_ij,B_ij,Dbar_plus_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,n_status_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
30203,0.535,2.057142857142857,2.0,0.3254806998556999,0.0051758152958152935,200,70,107,303,336,6,10.2,647922,7842665,3,lead_stubborn,0.405342196225377,0.1209354681890304
30386,0.595,1.9891304347826086,2.0,0.3919981962481963,0.005565001803751799,200,92,119,304,336,6,14.6,647922,7842665,86,lead_stubborn,0.4461023732799478,0.2773058726188811
30448,0.25,1.696969696969697,2.0,0.10558405483405481,0.003942646665426078,200,33,50,305,336,6,20.9,647922,7842665,48,lead_stubborn,0.2114807290736435,0.0244607249130057
30533,0.345,1.851063829787234,2.0,0.17488690476190474,0.004502631535131532,200,47,69,306,336,6,29.9,647922,7842665,33,lead_stubborn,0.2594311744995365,0.5379384620687854
30729,0.445,1.704225352112676,2.0112359550561796,0.27049855699855707,0.0049398916361416325,200,71,89,308,336,6,61.0,647922,7842665,29,lead_stubborn,0.2901917465581629,0.3137113417077046
3062,0.55,1.7166666666666666,2.0,0.2631765873015872,0.006495198412698412,200,60,110,31,842,2,5.0,1031839,587281,62,lead_stubborn,0.3350709844137344,0.6247506884808997
31209,0.31,1.894736842105263,2.0161290322580645,0.14263732101232093,0.004639869202434993,200,38,62,313,704,3,10.2,1000261,7536640,9,lead_stubborn,0.2331676534838964,0.9471927912224244
3152,0.615,1.5842696629213484,2.008130081300813,0.37262500000000004,0.006261309523809519,200,89,123,32,842,2,7.1,1031839,587281,52,lead_stubborn,0.3898718220747056,0.4295434601453535
31626,0.34,1.4883720930232558,2.0,0.16128696514837812,0.004611215101323798,200,43,68,317,704,3,42.7,1000261,7536640,26,lead_stubborn,0.2702561230694959,0.837478784452857
31893,0.44,1.6111111111111112,2.0,0.197184274059274,0.004183112186016599,200,54,88,319,704,3,87.4,1000261,7536640,93,lead_stubborn,0.2779592827386458,0.3345825728904498
33008,0.505,1.7936507936507937,2.0,0.2706706349206349,0.005172025613275613,200,63,101,331,223,6,5.0,673812,3540215,8,lead_stubborn,0.3927810904963459,0.8167673407001561
31907,0.63,1.858974358974359,2.0,0.35873290598290597,0.0053580728993228985,200,78,126,320,704,3,125.0,1000261,7536640,7,lead_stubborn,0.4657787213448116,0.0151426399118454
