system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
800,528,8,125.0,748694,1322580,1,0.32,,,1.75,0.56
811,687,2,5.0,1029800,4329160,1,0.285,,,2.210526315789474,0.6300000000000001
820,687,2,125.0,1029800,4329160,1,0.38,,,1.486842105263158,0.565
821,994,4,5.0,707499,5760580,1,0.315,,,1.9523809523809523,0.615
824,994,4,14.6,707499,5760580,1,0.445,,,1.7078651685393258,0.76
825,994,4,20.9,707499,5760580,1,0.28,,,1.6964285714285714,0.475
829,994,4,87.4,707499,5760580,1,0.275,,,1.9454545454545455,0.535
831,782,2,5.0,416203,7873062,1,0.625,,,15.68,9.8
835,782,2,20.9,416203,7873062,1,0.6,,,2.9833333333333334,1.79
838,782,2,61.0,416203,7873062,1,0.21,,,1.619047619047619,0.34
839,782,2,87.4,416203,7873062,1,0.44,,,1.9545454545454546,0.86
842,948,6,7.1,1102116,3964761,1,0.395,,,1.8987341772151898,0.75
844,948,6,14.6,1102116,3964761,1,0.405,,,1.8888888888888888,0.765
845,948,6,20.9,1102116,3964761,1,0.47,,,1.925531914893617,0.905
846,948,6,29.9,1102116,3964761,1,0.23,,,1.826086956521739,0.42
847,948,6,42.7,1102116,3964761,1,0.39,,,1.8076923076923077,0.705
849,948,6,87.4,1102116,3964761,1,0.305,,,1.8852459016393444,0.575
851,945,7,5.0,829011,2599119,1,0.405,,,1.9382716049382716,0.785
852,945,7,7.1,829011,2599119,1,0.475,,,1.8421052631578947,0.875
854,945,7,14.6,829011,2599119,1,0.195,,,1.8974358974358974,0.37
855,945,7,20.9,829011,2599119,1,0.27,,,2.1296296296296298,0.575
856,945,7,29.9,829011,2599119,1,0.425,,,1.9294117647058824,0.82
858,945,7,61.0,829011,2599119,1,0.25,,,1.82,0.455
859,945,7,87.4,829011,2599119,1,0.2,,,1.65,0.33
861,120,3,5.0,918714,2820493,1,0.29,,,1.8448275862068966,0.535
