config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
103703,0.26,1.8653846153846154,0.23800829725829722,0.004699509379509379,200,52,1038,429,4,61.0,543574,3645522,3,selfish,0.405342196225377,0.1209354681890304
103433,0.17,1.7941176470588236,0.13000703463203464,0.004278549963108787,200,34,1035,429,4,20.9,543574,3645522,33,selfish,0.2594311744995365,0.5379384620687854
102822,0.225,1.711111111111111,0.15300487012987016,0.004251977091535915,200,45,1029,741,5,87.4,427985,6135317,22,selfish,0.24260325729568,0.2220357375157741
104082,0.24,1.5625,0.19247619047619044,0.004840641392920803,200,48,1041,900,6,5.0,1105037,4657678,82,selfish,0.3128186843462212,0.0598593952629424
104128,0.43,2.011627906976744,0.37719047619047624,0.005599469696969692,200,86,1042,900,6,7.1,1105037,4657678,28,selfish,0.4304538627565802,0.2618674911675315
104560,0.27,1.9259259259259258,0.21352716727716725,0.004592328851703853,200,54,1046,900,6,29.9,1105037,4657678,60,selfish,0.2892063661005389,0.2123889347471068
104320,0.195,1.7179487179487178,0.1287470760233918,0.003742660205291786,200,39,1044,900,6,14.6,1105037,4657678,20,selfish,0.2461140406262255,0.1374999707243197
105258,0.32,2.015625,0.2730039682539682,0.004738490814740814,200,64,1053,423,3,10.2,956458,1985502,58,selfish,0.3409275648695138,0.932574439505853
105010,0.41,1.829268292682927,0.3695595238095237,0.005467499999999998,200,82,1051,423,3,5.0,956458,1985502,10,selfish,0.4737946714611262,0.5224738795684104
105328,0.365,1.821917808219178,0.33274801587301595,0.005308203781512605,200,73,1054,423,3,14.6,956458,1985502,28,selfish,0.4304538627565802,0.2618674911675315
105689,0.19,1.8157894736842106,0.10643985154279272,0.0036179079630635196,200,38,1057,423,3,42.7,956458,1985502,89,selfish,0.2129379249701362,0.6944582199785999
104739,0.365,1.643835616438356,0.34954365079365085,0.005471150793650792,200,73,1048,900,6,61.0,1105037,4657678,39,selfish,0.4790241755215713,0.6177321915239017
104638,0.325,2.0615384615384613,0.26127579365079373,0.004716791125541126,200,65,1047,900,6,42.7,1105037,4657678,38,selfish,0.3509947337216052,0.8424701912520188
10657,0.17,1.7647058823529411,0.10606308887191242,0.004387941029558674,200,34,107,104,4,42.7,637257,4082743,57,selfish,0.2281547978409189,0.2464978385902064
106061,0.26,1.6923076923076923,0.19996266233766233,0.004795764790764789,200,52,1061,869,3,5.0,1071557,2325030,61,selfish,0.3070497535774244,0.9179940122389904
106394,0.265,1.6415094339622642,0.19676082251082247,0.004262866161616163,200,53,1064,869,3,14.6,1071557,2325030,94,selfish,0.2857700497959219,0.1163714164083326
106401,0.355,2.0,0.2911271645021644,0.004772801781551781,200,71,1065,869,3,20.9,1071557,2325030,1,selfish,0.3857676334163057,0.2047082508361712
106907,0.42,1.8333333333333333,0.3680555555555555,0.005730961399711401,200,84,1070,869,3,125.0,1071557,2325030,7,selfish,0.4657787213448116,0.0151426399118454
107299,0.285,1.6666666666666667,0.1981144957983193,0.004422504668534081,200,57,1073,914,7,10.2,459582,798328,99,selfish,0.3227365905845993,0.0746241892293311
107403,0.33,1.7424242424242424,0.2985519480519481,0.0051085515873015895,200,66,1075,914,7,20.9,459582,798328,3,selfish,0.405342196225377,0.1209354681890304
107569,0.15,1.7333333333333334,0.10206654456654457,0.0031137569059244267,200,30,1076,914,7,29.9,459582,798328,69,selfish,0.2070972729458678,0.2979198700199214
107630,0.095,1.6842105263157894,0.05600515660809779,0.0034147616096605847,200,19,1077,914,7,42.7,459582,798328,30,selfish,0.2039812783100412,0.857228363045134
108044,0.275,1.6545454545454545,0.18930952380952376,0.005859702380952379,200,55,1081,776,4,5.0,356555,4899302,44,selfish,0.3297294244236074,0.1851245903607699
108200,0.365,2.0547945205479454,0.31332738095238094,0.005337539682539679,200,73,1082,776,4,7.1,356555,4899302,100,selfish,0.4158727914731683,0.6511808318464773
108340,0.195,1.6923076923076923,0.12224603174603177,0.004778031413031413,200,39,1084,776,4,14.6,356555,4899302,40,selfish,0.2501126952506121,0.6454895199876196
107969,0.155,1.6774193548387097,0.09236491183395207,0.0033452593983244127,200,31,1080,914,7,125.0,459582,798328,69,selfish,0.2070972729458678,0.2979198700199214
109168,0.295,1.7457627118644068,0.2762584776334776,0.005192604617604615,200,59,1092,170,3,7.1,1079442,4649627,68,selfish,0.3706046305857265,0.4761663270697934
109461,0.245,1.8775510204081634,0.1761468253968254,0.004827973137973137,200,49,1095,170,3,20.9,1079442,4649627,61,selfish,0.3070497535774244,0.9179940122389904
109712,0.295,2.0847457627118646,0.26716666666666666,0.00512660714285714,200,59,1098,170,3,61.0,1079442,4649627,12,selfish,0.3985108847427614,0.9637929216712549
109809,0.245,1.8979591836734695,0.17171584787761254,0.00410764031719914,200,49,1099,170,3,87.4,1079442,4649627,9,selfish,0.2331676534838964,0.9471927912224244
